Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
L'Emigrato Italiano |Bassano del Grappa, Italy (previously published in Rome, Italy)|1914-1920, 1944-1946, 1953, 1961-1977||ita|ita,eng|P||N|||The Italian Emigrant; previously titled L'Emigrato Italiano in America and Le Missioni Scalabriniane|
Fairmount News|St|1939-1942||ita|eng,|P||N||||
Fiori e Sorrisi Italici |New York, NY|1914||ita|eng|P||N|||Italic Flowers and Smiles|
Fioritura Nova |Brooklyn, NY|1919||ita|eng|P||N|||New Flowering|
La Follia di New York |New York, NY|1934-1935, 1939, 1955, 1958-1971, 1982-date||ita|eng,|P||N|||The New York Folly|
Fratellanza News|St|1971-1975||ita|eng,|P||N||||
Friends of Danilo Dolci|Inc|1971-1973, 1975, 1983||ita|eng,|P||N||||
La Gazzetta Legale Italo-Americana |New York, NY|1951||ita|eng,|P||N|||The Italo-American Legal Gazette; previously titled La Gazzetta del Notaio Italo-Americano|
Il Gazzettino |South San Francisco, CA|1973-1979||ita|eng,|P||N|||The Little Gazette|
Germinal|Chicago, IL|1913); microfilm: 1913||ita||M||N||||
Il Giornalino |Albuquerque, NM|1975, 1977-1979, 1981||ita|eng,|P||N|||The Little Daily|
Il Giornalino |Middlebury, VT|1979-1983||ita|eng|P||N|||The Little Daily|
Giovinezza |New York, NY|1932||ita|eng|P||N|||Youth|
Guardia Rossa |New York, NY|1920||ita|eng|P||N|||The Red Guard|
Return to top.||||ita||P||N||||
Guida Pratica della Parrocchia Italiana del SS. Redentore |St|||ita|eng,ita,|P||N|||Practical Guide of the Italian Parish of the Holy Redeemer|
I-Am|New York, NY|1976-1977||ita|eng,|P||N||||
L'Idea |New York, NY|1923||ita|eng|P||N|||The Idea|
Identity|New York, NY|1977||ita|eng,|P||N||||
L'Indipendente |New York, NY|||ita|eng|P||N|||Independent Order Sons of Italy|
L'Informatore per l'Emigrante |Rome, Italy|1922-1928||ita|eng|P||N|||The Emigrant's Adviser|
International Lyric Courier|New York, NY|1949-1950||ita|eng,|P||N||||
L'Internazionale |Philadelphia, PA|1909); microfilm: 1909||ita|eng|M||N|||The International|
Istituto di Studi Americani|Comitato di Coordinamenta per gli Studi di Storia Americana Bollettino (Bulletin of the Coordinating Committee for American History Studies, Institute of American Studies), Florence, Italy|1972||ita||P||N||||
Istituto Italiano di Cultura Newsletter |New York, NY|1970-1978||ita|eng,ita,|P||N|||Italian Cultural Institute Newsletter|
Italamerican|New York, NY|1954-1955, 1967-1968||ita|eng,|P||N||||
The Italian|Miami, FL|1971, 1974||ita|eng,ita,|P||N||||
Italian American Coalition Newsletter|New York, NY|1972||ita|eng,ita,|P||N||||
Italian American Digest|New Orleans, LA|1974-1983, 1987||ita|eng,ita,|P||N||||
Italian American Family Scene|San Francisco, CA|1975-1976||ita|eng,ita,|P||N||||
