Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Croatian Information Service|Arcadia, CA|1978||hrv|eng,hrv,|P||N||||
Crveni Kalendar |Chicago, IL|1920-1926, 1928-1932, 1934||hrv|eng|P||N|||Red Calendar|
Danica Hrvatska Koledar |New York, NY|1922||hrv|hrv,eng|P||N|||The Croatian Morning Star Almanac|
Gradisce Kalendar|Wien, Austria|1948, 1950, 1953-1977, 1979-1989||hrv||P||N||||
Hrvatska Revija |Munich, West Germany (previously published in Buenos Aires, Argentina)|1955||hrv|hrv,ger,eng|P||N|||Croatian Review|
Hrvatski Domobran Godisnjak |Pittsburgh, PA|1938, 1940||hrv|hrv,eng|P||N|||Croatian Home Defenders Almanac|
Hrvatski Glas Kalendar za Godinu |Winnipeg, Manitoba, Canada|1940, 1945, 1956, 1960, 1964-1969, 1971, 1975-1976, 1980||hrv|hrv,eng|P||N|||Croatian Voice Calendar for the Year|
Hrvatski Godisnjak |McKeesport, PA|1947-1950||hrv|eng,hrv,|P||N|||Croatian Almanac; see also Ave Maria|
Hrvatski Iseljenik |Zagreb, Yugoslavia|1940||hrv|hrv,eng|P||N|||Croatian Emigrant|
Hrvatski Kalendar |Chicago, IL|1944-1950, 1965, 1970||hrv|hrv,eng|P||N|||Croatian Almanac|
Hrvatski Katolicki Glasnik |Chicago, IL|1945, 1948-1950, 1953, 1956-1957, 1968||hrv|hrv,eng|P||N|||Croatian Catholic Messenger|
Hrvatski List & Danica Hrvatska Koledar |New York, NY|1926, 1928, 1930-1944||hrv|hrv,eng|P||N|||The Croatian Gazette and the Croatian Morning Star Almanac|
Izbor |Buenos Aires, Argentina|1954-1955||hrv|spa,eng|P||N|||Selections|
Junior Magazine |Pittsburgh, PA|1956-1976||hrv|eng,hrv,|P||N|||Croatian Fraternal Union Junior Order Department|
Kalendar Narodnoga Lista |New York, NY|1917||hrv|eng|P||N|||National Gazette Calendar|
Kalendar Novi Svijet |Chicago, IL|1928||hrv|eng|P||N|||New World Calendar|
Kronika Zavoda za Knjizevnost i Teatrologiju JAZU |Zagreb, Yugoslavia|1984||hrv|eng|P||N|||Chronicle of the Institute for Literature and Theater Arts|
Mali Hravtski Kalendar |Buenos Aires, Argentina|1950||hrv|hrv,eng|P||N|||Little Croatian Calendar|
Matica|Zagreb, Yugoslavia|1952-1975, 1977||hrv|eng,|P||N||||
Matica Iseljenicki Kalendar |Zagreb, Yugoslavia|1955-1970, 1972-1973, 1977-1983, 1985||hrv|eng,|P||N|||Emigrant Matica Calendar|
Migracije |Zagreb, Yugoslavia|1972-1983||hrv|eng|P||N|||Migrations; previously titled Bilten|
Migracijske Teme |Zagreb, Yugoslavia|1985||hrv|eng,|P||N|||Migration Themes|
Narod |San Francisco, CA|1945-1946||hrv|eng|P||N|||The Nation|
Narodni Kalendar |Chicago, IL|1964-1967||hrv|eng|P||N|||The People's Almanac|
Narodni Kalendar |Pittsburgh, PA|1945||hrv|eng|P||N|||The People's Almanac|
Nasa Nada Kalendar |Chicago, IL|1927-1928, 1932, 1946-1949||hrv|eng,|P||N|||Our Hope Almanac|
Nase More |Dubrovnik, Yugoslavia|1955-1956, 1959, 1961, 1963-1967, 1972-1979||hrv|eng|P||N|||Our Sea|
North American Council for Independence of Croatia; Vjesnik Vijeca|Windsor, Ontario, Canada|||hrv|eng,|P||N||||
Nova Jugoslavija |New York, NY|1942||hrv|eng|P||N|||New Yugoslavia|
Nova Jugoslavija |Montevideo, Uruguay|1944); microfilm: 1944||hrv|eng|M||N|||New Yugoslavia|
Osoba i Duh |Albuquerque, NM|||hrv|eng|P||N|||Person and Spirit|
Petrica Kerempuh|Chicago, IL|1983); microfilm: 1983||hrv||M||N||||
Radnicki Kalendar |Pittsburgh, PA|1939, 1942||hrv|eng|P||N|||Workers' Calendar|
Rasprave o Migracijama |Zagreb, Yugoslavia|1981-1983||hrv|eng|P||N|||Discussions on Migration|
Republika Hrvatska |Buenos Aires, Argentina|1958-1959||hrv|eng,hrv,|P||N|||Croatian Republic|
Slavjanska Sloga |San Francisco, CA|1895); microfilm: 1895||hrv|eng|M||N|||Slavic Unity|
St. Nicholas Roman Catholic Church; Mjesecni Vijesnik |Pittsburgh, PA|1932||hrv|eng|P||N|||Monthly News|
Socijalisticki Radnicki Kalendar |Cleveland, OH|1920, 1924, 1927, 1928, 1937,1943, 1951,1964-1965||hrv|eng,|P||N|||Socialist Workers' Almanac|
Sokol |St|1933-1934); microfilm: 1933-1934||hrv|eng,|M||N|||American Sokol Messenger|
Svjetlo |Chicago, IL|1911||hrv|eng|P||N|||The Light|
The Tamburitzan|Pittsburgh, PA|1959-1960||hrv|eng,|P||N||||
The Trumpeter|Borger, TX|1981||hrv|eng,hrv,|P||N||||
United American Croats Bulletin|New York, NY|1965-1970||hrv|eng,|P||N||||
Vinculum Caritatis |Chicago, IL|||hrv|eng|P||N|||Chain of Charity|
Zdravlje |Detroit, MI|1929||hrv|eng|P||N|||Health|
Yugoslav||||hrv||P||N||||
Balkan and Eastern European American Genealogical and Historical Society|San Francisco, CA|1964-1966||hrv|eng,|P||N||||
The Florida State University Center for Yugoslav-American Studies Proceedings and Reports |Tallahassee, FL|1972-1977||hrv|eng,|P||N|||previously titled The Florida State University Slavic Papers|
The Florida State University Joint Yugoslav-American Advisory Council Proceedings and Reports|Tallahassee, FL|1978-1979||hrv|eng,|P||N||||
Jugoslav Review|New York, NY|1923); microfilm: 1923||hrv|hrv,slv,-scc,|M||N||||
Jugoslaven |Västerås, Sweden|1979||hrv|eng,hrv,|P||N|||The Yugoslav|
Jugoslavia Kalendar |Chicago, IL|1939||hrv|eng,slv,|P||N|||Yugoslavia Calendar|
Kolo|New York, NY|1924||hrv|slv,|P||N||||
Medunardoni Problemi |Belgrade, Yugoslavia|1982||hrv|hrv,-scc,eng|P||N|||International Problems|
Nas Kalendar |Toronto, Ontario, Canada|1958||hrv|slv,eng|P||N|||Our Calendar|
Sokolski Vesnik |Milwaukee, WI|1967-1975, 1980-1984||hrv|hrv,slv,-scc,eng|P||N|||Sokol Herald|
T & T |Milford, NJ|1945-1948, 1950||hrv|eng,|P||N|||formerly Today and Tomorrow|
The Tamburitzan|Pittsburgh, PA|1959-1961, 1976||hrv|eng,|P||N||||
That's Yugoslavia |Hamburg, West Germany|1982||hrv|eng,ger,|P||N|||supplement to Hrvatska Domovina|
United Committee of South-Slavic Americans Bulletin|New York, NY|1943-1946||hrv|eng,|P||N||||
United Yugoslav Relief Fund of America News Bulletin |New York, NY|1941-1945||hrv|eng,|P||N|||previously titled Yugoslav News Bulletin|
Yugoslav-American Academic Association of the Pacific Bulletin|Palo Alto, CA|1977||hrv|eng,|P||N||||
Yugoslav-American Society Newsletter|Minneapolis, MN|1987||hrv|eng,|P||N||||
Yugoslav Facts and Views|New York, NY|1975-1981||hrv|eng,|P||N||||
Yugoslavia Ministarstvo Socijalne Politike Iseljenicki Odsek Iseljenicka Sluzba: Izvestaj Narodnoj Skupstini |Belgrade, Yugoslavia|Izvestaj Narodnoj Skupstini (Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly), Belgrade, Yugoslavia||hrv|hrv,-scc,eng|P||N|||Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly|
