Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Gazzetta Italiana |Seattle, WA|1947-1952||ita|ita,eng|P||N|||Italian Gazette|
Gazzetta del Massachusetts |Boston, MA|1903-1905, 1907-1911, 1915-1960); microfilm: 1903-1905, 1907-1911, 1915-1960||ita|eng|M||N|||Massachusetts Gazette|
Il Gazzettino |Boston, MA|1929||ita|eng|P||N|||The Little Gazette|
Germinal! Messina|Italy|1906); microfilm: 1906||ita||M||N||||
Il Giornale di Chicago |Chicago, IL|1916); microfilm: 1916||ita|eng|M||N|||The Chicago Journal|
Il Giornale Italiano |New York, NY|1910-1912||ita|ita,eng|P||N|||The Italian Journal|
Il Giornale di Toronto |Toronto, Ontario, Canada|1967; microfilm: 1967-1975||ita|eng,|M||N|||The Toronto Journal|
Giornale L'Italia |San Francisco, CA|1908||ita|eng|P||N|||Italy Journal|
Giovinezza |Boston, MA|1924||ita|eng|P||N|||Youth|
Giuseppe Garibaldi|Philadelphia, PA|1907); microfilm: 1907||ita||M||N||||
Giustizia |Jersey City, NJ (New York, NY)|1930-1935, 1938, 1957-1958, 1968, 1974; microfilm: 1919-1946||ita|eng|M||N|||Justice|
La Giustizia |Reggio Emilia, Italy|1954||ita|eng|P||N|||Justice|
La Giustizia |Rome, Italy|1954||ita|eng|P||N|||Justice|
La Gogna |Kensington, IL|1909; microfilm: 1909||ita|eng|M||N|||The Pillory|
Golden Lion|Bethpage, NY|1964-1965, 1970-1995, 2004-2005||ita|eng,|P||N||||
Grand Ledger|Flint, MI|1983-1987||ita|eng,|P||N||||
Il Grido del Popolo |Denver, CO|1907||ita|eng|P||N|||The Cry of the People|
Il Grido della Folla |Milan, Italy|1905; microfilm: 1905||ita|eng|M||N|||The Cry of the Crowd|
Il Grido della Folla |New York, NY|1916); microfilm: 1916||ita|eng|M||N|||The Cry of the Crowd|
Il Grido della Stirpe |New York, NY|1923-1925, 1934-1936, 1940||ita|eng|P||N|||The Cry of the Ancestry|
Hill 2000|St|1973-1984||ita|eng,|P||N||||
Incontro |Boston, MA|1972-1976||ita|eng|P||N|||Meeting|
L'Independente |Hancock, MI|1917||ita|eng|P||N|||The Independent|
L'Internazionale |Boston, MA|1917); microfilm: 1917||ita|eng|M||N|||The International|
Intesa Libertaria |New York, NY|1939||ita|eng|P||N|||Libertarian Alliance|
Iron County News |Hurley, WI|; microfilm:1904-1950||ita|eng,|M||N|||previously titled La Nostra Terra|
L'Italia |Chicago, IL|1957, 1959-1960, 1963; microfilm: 1886-1899, 1901-1918||ita|eng|M||N|||Italy|
L'Italia Letteraria |New York, NY|1908||ita|eng|P||N|||Literary Italy|
