Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Kalendar "Sobranija" |McKeesport,  PA|1918-1919, 1921-1932, 1935-1938); microfilm: 1918-1919, 1921-1932, 1935-1938||sla|eng,|M||N|||"Alliance" Almanac; previously titled Kalendar' Prosvity|
Karpatorusski  Kalendar' "Lemko" |Philadelphia|1922, 1930||sla|eng|P||N|||Carpatho-Russian Lemko Almanac|
Karpatorusski  Kalendar' Lemko-Soiuza |Yonkers, NY|1932, 1937-1938, 1940-1971; microfilm: 1930-1971||sla|eng|M||N|||Carpatho-Russian Almanac of the Lemko Uinon|
Karpatorusskij Narodnyj Kalendar' |Perth Amboy, NJ|1944-1946); microfilm: 1944-1946||sla|eng,|M||N|||Carpatho-Russian National Almanac|
Karpatorusskije Novosti |New York, NY|1943-1945); microfilm: 1943-1945||sla|eng,|M||N|||Carpatho-Russian News|
Listok |Uzhgorod, Ukraine|1885-1903); microfilm: 1885-1903||sla|eng|M||N|||Leaflet|
The Marian|Whiting, IN|1954-1956||sla|eng,|P||N||||
Narodna Obrana |Homestead, PA|1917); microfilm: 1917||sla|eng|M||N|||National Defense|
Nauka |Uzhgorod, Ukraine|1897-1921); microfilm: 1897-1921||sla|eng|M||N|||Doctrine|
Nebesnaja Carica |McKeesport, PA|1927-1955); microfilm: 1927-1955||sla|eng,|M||N|||Queen of Heaven|
Niva |Yonkers, NY (previously published in Homestead, PA)|1911, 1916); microfilm: 1911, 1916||sla|eng|M||N|||The Sown Field|
Pravoslavije |Nicholson, PA|1941); microfilm: 1941||sla|eng,|M||N|||Orthodoxy|
Pravoslavny Amerikanski Viestnik |New York, NY|1896-1897); microfilm: 1896-1897||sla|eng,|M||N|||Russian Orthodox American Messenger|
Prolom |New York, NY|1919-1921); microfilm: 1919-1921||sla|eng|M||N|||The Breach|
