Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Slovenski List; Slovenska Krajina Priloga |Buenos Aires, Argentina|1937); microfilm: 1937||slv|slv,eng|M||N|||Slovenian Gazette|
Slovenski Narod |New York, NY (previously published in Pueblo, CO)|Slovenski Narod v Ameriki), New York, NY (previously published in Pueblo, CO); microfilm: 1908-1909, 1912, 1915-1917||slv|slv,eng|M||N|||The Slovenian People; title varies: Slovenski Narod v Ameriki|
Slovenski Svet |Washington, DC|1917); microfilm: 1917||slv|slv,eng|M||N|||Slovenian World|
Slovenski Tednik |Buenos Aires, Argentina|1930); microfilm: 1930||slv|slv,eng|M||N|||Slovenian Weekly|
Slovensko-Hrvatske Novine |Calumet, MI|1930); microfilm: 1930||slv|eng,hrv,slv,|M||N|||Slovenian-Croatian News|
Svoboda |Chicago, IL|1930, 1935); microfilm: 1930, 1935||slv|eng,|M||N|||Liberty|
Svobodna Slovenija |Buenos Aires, Argentina|1964-date||slv|eng|P||N|||Free Slovenia|
Vestnik |Milwaukee, WI|Vestnik in Nas Dom), Milwaukee, WI; microfilm: 1925, 1928||slv|eng|M||N|||The Herald; title varies: Vestnik in Nas Dom|
Zarja |Ljubljana, Yugoslavia|1912, 1914); microfilm: 1912, 1914||slv|eng|M||N|||The Dawn|
Zora |Chicago, IL|1901); microfilm: 1901||slv|eng|M||N|||The Dawn|
Yugoslav||||slv||P||N||||
Jugoslavenski Glasnik |Chicago, IL/Calumet, MI/New York, NY|1938-1945||slv|hrv,-scc,eng|P||N|||Yugoslav Herald|
Jugoslovenski Obzor |Milwaukee, WI|1933-1945||slv|slv,eng|P||N|||Yugoslav Observer|
Return to Top||||slv||P||N||||
American Fraternal Union Constitution and By-Laws |Ely, MN|1924, 1936, 1941||slv|eng,|P||N|||Ameriska Bratska Zveza; prior to 1940 called South Slavonic Catholic Union of America|
Ameriski Druzinski Koledar |Chicago, IL|1915-1950||slv|eng|P||N|||American Family Calendar|
Angelcek |Chicago, IL|1921-1923||slv|eng,|P||N|||Little Angel|
Ave Maria |Lemont, IL (previously published in New York, NY)|1910-date||slv|eng|P||N|||Hail Mary|
Ave Maria Koledar |Lemont, IL (previously published in New York, NY, and Chicago, IL)|1913-1983||slv|eng|P||N|||Ave Maria Calendar|
Baragov Vestnik |Buenos Aires, Argentina|1963-1666 (?)||slv|eng|P||N|||Baraga's Herald|
Baragova Pratika |Berwyn, IL|1942-1959||slv|eng|P||N|||Baraga's Practice|
Bozja Beseda |Toronto, Ontario, Canada|1954-1962||slv|eng|P||N|||The Word of God|
Bratstvo |Calumet, MI|1926); microfilm: 1926||slv|eng|M||N|||Fraternity|
Return to Top||||slv||P||N||||
Brazda |Chicago, IL|1954||slv|eng|P||N|||Furrow|
Cankarjev Glasnik |Cleveland, OH|1937-1942||slv|eng|P||N|||Cankar's Herald|
Cas |Cleveland, OH|1915-1928||slv|eng|P||N|||Time; title changed to Novi Cas in 1928|
Cuk na Pal'ci |Buenos Aires, Argentina|1930); microfilm: 1930||slv|eng|M||N|||Owlet on a Stick|
Delavski Koledar |Milwaukee, WI|1925-1926||slv|eng|P||N|||Workers' Calendar|
Dom in Svet |Chicago, IL|1929); microfilm: 1929||slv|eng|M||N|||Home and World|
