Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Ascension Bulletin|Oakland, CA|1983-date||gre|eng,|P||N||||
Athene|Chicago, IL|1957, 1959, 1962-1963, 1965||gre|eng,|P||N||||
The Basilian|Stockton, CA|1985-date||gre|eng,|P||N||||
Byzantina Metabyzantina |New York, NY|1949||gre|eng,gre,|P||N|||The Society for the Promotion of Byzantine and Modern Greek Studies|
Byzantium|New York, NY|||gre|eng,|P||N||||
Cathedral Echo|San Francisco, CA|1972||gre|eng,|P||N||||
The Christian Orthodox|Richmond, VA|1964||gre|eng,|P||N||||
Daughters of Penelope Convention Yearbook|Washington, DC (?)|1954-1955, 1974||gre|eng,|P||N||||
Diakonia|Los Angeles, CA|1954||gre|eng,|P||N||||
The Diocesan Voice|San Francisco, CA|1983-1984||gre|eng,|P||N||||
Ecclesia |Pittsburgh, PA|1969-1976||gre|eng,|P||N|||Church|
Echo tou Kathedrikou |New York, NY|1938-1940||gre|eng,|P||N|||Cathedral Echo|
Edict|Detroit, MI|||gre|eng,|P||N||||
Ellenoamerikanikos Telephonikos Katalogos Meizonos Neas Yorkes |New York, NY|1977-1978||gre|gre,eng|P||N|||Greek American Telephone Directory--Greater New York|
The Epistle|Hempstead, NY|1971-1972, 1974||gre|eng,|P||N||||
Fone tes Ellados |New York, NY|1966-1968||gre|eng,|P||N|||The Voice of Greece|
The GOYAN |New York, NY|1953-1956, 1958, 1961, 1963, 1968||gre|eng,gre,|P||N|||Greek Orthodox Youth of America|
The Greek American|New York, NY|1986-date||gre|eng,gre,|P||N||||
Greek Orthodox Archidiocese of North and South America Financial Statements|New York, NY|1955, 1964||gre|eng,gre,|P||N||||
Greek Orthodox Archdiocese of North and South America News Bulletin|New York, NY|1970||gre|eng,gre,|P||N||||
Greek Orthodox Archdiocese of North and South America Regulations and Uniform Parish Bylaws|New York, NY|1955, 1960, 1962, 1964-1965||gre|eng,gre,|P||N||||
Greek Orthodox Archdiocese of North and South America Yearbook|New York, NY|1955, 1960-1963, 1976, 1978-1980, 1982, 1986-1987||gre|eng,gre,|P||N||||
Greek Orthodox Archdiocese of North and South America Decisions of the 19th Clergy-Laity Congress of the Greek Orthodox Archdiocese of North and South America in Athens|July 20-27, 1968|||gre|eng,gre,|P||N||||
Greek Orthodox Teachers' Benevolent Association of the Greek Archdiocese Yearbook|New York, NY|1964||gre|eng,gre,|P||N||||
The Greek Orthodox Theological Review|Brookline, MA|1954, 1956-1964, 1966-1970, 1972, 1974, 1977, 1979||gre|eng,gre,|P||N||||
Greek Orthodox Youth of America Choir Director's Manual|New York, NY|1964, 1970-1971, 1973||gre|eng,gre,|P||N||||
Greek Orthodox Youth of America International Conference Proceedings|New York, NY|1956-1959, 1961-1966, 1968||gre|eng,gre,|P||N||||
Greek Orthodox Youth of America|Diocese 1, District 1, District Conference Proceedings, Haines Falls, NY|1961||gre|eng,gre,|P||N||||
Greek World|New York, NY|1976-1978||gre|eng,gre,|P||N||||
The Hellenic American|Detroit, MI|1965||gre|eng,|P||N||||
Hellenic Calendar|Fountain Valley, CA|1979-1981, 1984||gre|eng,|P||N||||
The Hellenic News|Philadelphia, PA|1964||gre|eng,|P||N||||
Hellenic Newsletter|Phoenix, AZ|1972||gre|eng,|P||N||||
Hellenic Review|Forest Hills, NY|1963-1967||gre|eng,|P||N||||
Hellenism|Chicago, IL|1968-1970||gre|eng,|P||N||||
Hemerologion tes Ekklesias tes Hellados |Athens, Greece|1970, 1973||gre|gre,eng|P||N|||Calendar of the Greek Church|
Holy Cross Greek Orthodox Theological School Hemerologiake Epeteris|Brookline, MA (previously published in Pomfret Center, CT)|1941, 1944, 1948, 1951, 1953, 1962-1965||gre|eng,gre,|P||N||||
Journal of the Hellenic Diaspora|New York, NY|1974-1985||gre|eng,|P||N||||
Koimesis Theotokou |Brooklyn, NY|1972-1975||gre|eng,|P||N|||Dormition of the Virgin|
Koinonia |Brookline, MA|1978-1980||gre|eng,|P||N|||Communion|
Logos|Long Island City, NY|||gre|eng,|P||N||||
The Logos|Fort Wayne, IN|1968-1972||gre|eng,|P||N||||
Maids of Athena|Daughters of Penelope Junior Women's Auxiliary Convention Yearbook, Washington, DC (?)|1975||gre|eng,|P||N||||
Message |Greenlawn, NY|1966-1972, 1974-1979||gre|eng,gre,|P||N|||St. Paraskevi Greek Orthodox Church|
National Forum for Greek Orthodox Church Musicians Liturgical Guide Book|Englewood, CO|1984-1986||gre|eng,gre,|P||N||||
Nea Hellas |Montreal, Quebec, Canada|1970||gre|eng|P||N|||New Greece|
Nea Yorke |Clifton, NJ|1976-date||gre|eng,gre,|P||N|||New York; Greek American Monthly Review|
Neolea News|Brooklyn, NY|1969||gre|eng,|P||N||||
Neo-Hellenic Studies Bulletin |Austin, TX|1967, 1969-1970||gre|eng,|P||N|||Center for Neo-Hellenic Studies|
Nike |New York, NY|1913||gre|eng|P||N|||Victory|
Order of AHEPA Platograms|Charleston, SC|1977||gre|eng,|P||N||||
The Orthodox Herald|London, England|1970||gre|eng,|P||N||||
Orthodox Light |Passaic, NJ|1967-1970||gre|eng,gre,|P||N|||St. George Greek Orthodox Church|
Orthodox Observer; Orthodoxos Parateretes|New York, NY|1934-1936, 1960-1961, 1964-1971||gre|eng,|P||N||||
Penelopean Echo|Washington, DC|1985||gre|eng,|P||N||||
The Philhellene |New York, NY|1942-1950||gre|eng,|P||N|||American Friends of Greece|
Philoptochos Informer|Grand Rapids, MI|1968-1974||gre|eng,|P||N||||
Pilgrimage|Wheaton, IL|1975-1976||gre|eng,|P||N||||
Pneuma |Brooklyn, NY|1976-1977||gre|eng,|P||N|||The Spirit|
The Progress|Bloomfield Hills, MI (previously published in Jamestown, NY)|1963-1970||gre|eng,|P||N||||
Prometheus; "The Only Greek Almanac in America| New York, NY|1913||gre|gre,|P||N||||
Saint Andrew|Chicago, IL|1965, 1968-1976||gre|eng,|P||N||||
The Saint Demetrios Echo|Chicago, IL|1983-date||gre|eng,|P||N||||
Saint George Forum|Bethesda, MD|1969-1970||gre|eng,|P||N||||
St. George Greek Orthodox Church Sunday Bulletin|St|1969||gre|eng,gre,|P||N||||
The Saint George Herald|Bethesda, MD|1972-1973, 1975-1982||gre|eng,|P||N||||
Satyros|New York, NY|1925-1952||gre||P||N||||
The United Community Echo|Chicago, IL|1957-1968, 1972-1982||gre|eng,|P||N||||
Voice of the Annunciation|Memphis, TN|1966-1971||gre|eng,|P||N||||
