Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Makedonska Tribuna |Indianapolis, IN|1963-date||bul|eng,|P||N|||Macedonian Tribune|
Balkania|St|1967-1973||bul|eng,|P||N||||
Bulgarian Studies Association Newsletter|Gary, IN|1980||bul|eng,|P||N||||
Bulgarian Studies Group Newsletter|Gary, IN|1978-1979||bul|eng,|P||N||||
