Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Ilustretais Vards |Augsburg, Germany|1946-1948||lav|eng,ger,|P||N|||Illustrated Word|
Indianas Latviesu Biedriba |Indianapolis, IN|||lav|lav,eng|P||N|||Indiana Latvian Society|
Intelekts |Chicago, IL|1965||lav|eng|P||N|||Intellect|
Invalidu Vestis |Memmingen, West Germany|||lav|ger,eng|P||N|||War Invalids' Message|
Jamaica Plain Luteranu Draudze |Jamaica Plain, MA|1980||lav|eng|P||N|||Jamaica Plain Lutheran Church|
Jauna Gaita |Hamilton, Ontario, Canada|1955-date||lav|eng|P||N|||The New Course|
Jaunais Vards |Meerbeck, Germany|1946-1947||lav|ger,eng|P||N|||The New Word|
Jaunas Balsis |Los Angeles, CA (previously published in Anaheim and North Hollywood, CA)|1954-1958||lav|eng|P||N|||The New Voices|
Jaunatnei |Augsburg, Germany|1945-1946||lav|ger,eng|P||N|||For Youth; supplement to weekly newspaper Latvju Domas|
Jaunatnes Atbalss |Three Rivers, MI|1967, 1969-1970, 1973||lav|eng|P||N|||Echo of Youth|
Jaunatnes Balss |Minneapolis, MN|||lav|eng|P||N|||Voice of Youth; supplement to Svetrita Zvani|
Jaunatnes Balss |Toronto, Ontario, Canada|||lav|eng|P||N|||Voice of Youth|
Jaunatnes Cels |Lakewood, OH|1970-1971, 1973||lav|eng|P||N|||The Road of Youth|
Jaunaudze: Weekly Newspaper for Latvian Schools|Scouts and Guides, Geesthacht, D|Weekly Newspaper for Latvian Schools, Scouts and Guides, Geesthacht, D||lav|lav,|P||N||||
Jaunie Zvani |Grand Haven, MI|1981-1982||lav|eng|P||N|||New Bells|
Jautra Maska |Milwaukee, WI|1954||lav|lav,eng|P||N|||The Merry Mask|
Jersikas Zagata|Wisconsin|||lav||P||N||||
Return to Top||||lav||P||N||||
Kadets |Toronto, Ontario, Canada|1969, 1972, 1975, 1977-1980||lav|eng|P||N|||The Cadet|
Kalamazu Latviesu Biedriba |Kalamazoo, MI|1953||lav|lav,eng|P||N|||The Kalamazoo Latvian Society|
Kanadas Daugavas Vanadzes |Toronto, Ontario, Canada|1971-1972||lav|eng|P||N|||Daugavas Vanagi--Canadian "Hens"|
